楼盘名,楼盘地址,所在地区,房子户型,房子面积,房子价格
美林轩逸时光,[ 花都 区府 ] 新华街镜湖大道16号,花都,3室/4室/5室,建筑面积：91-148㎡,11000
骏辉雅苑,[ 花都 区府 ] 新华街建设北路219号,花都,2室/3室,建筑面积：88-178㎡,
富庄庭,[ 花都 区府 ] 新华街云山大道以南曙光路东侧,花都,1室/3室,建筑面积：56-97㎡,
云山雅轩,[ 花都 区府 ] 新华街铁路西,花都,2室/3室,建筑面积：93-118㎡,
芙蓉半岛,[ 花都 狮岭 ] 芙蓉省级度假区内白水带,花都,7室,建筑面积：386㎡,
名门国际公寓,[ 花都 区府 ] 三东大道与百寿路交界处,花都,,建筑面积：41034㎡,
骏豪阳光花园,[ 花都 狮岭 ] 南航大道10号,花都,,建筑面积：57043㎡,
双赢如家公寓,[ 花都 区府 ] 云山大道与商贸路交汇处,花都,,建筑面积：11384㎡,
雅居乐万科热橙,[ 花都 新机场 ] 花山镇热橙花园热橙大街13-31号（机场...,花都,2室/3室/4室,建筑面积：70-125㎡,16000
好美华庭,[ 花都 区府 ] 花都大道西83号,花都,2室/3室/4室,建筑面积：88-149㎡,10300
路劲悦峰,[ 花都 狮岭 ] 三东大道西（旧花卉市场）,花都,2室/3室/4室,建筑面积：64-147㎡,
深航御花园,[ 花都 区府 ] 新华街曙光大道与迎宾大道交汇处,花都,3室/4室,建筑面积：97-114㎡,680
保利花城,[ 花都 狮岭 ] 广清高速公路以东、三东大道西以北,花都,,建筑面积：495091㎡,26000
万科兰乔圣菲,[ 花都 区府 ] 芙蓉嶂度假区内银湖湾,花都,,建筑面积：148586㎡,
保利翡翠山,[ 花都 区府 ] 建设北路192号（花都公安办证大厅对面...,花都,3室/4室,建筑面积：84-125㎡,26000
锦尚蓬莱苑,[ 花都 区府 ] 新华街道办事处辖内，商业大道以北、凤...,花都,2室/3室/4室,建筑面积：90-147㎡,
狮峰公馆,[ 花都 区府 ] 新华街九谭村,花都,2室/3室,建筑面积：62-130㎡,
花都凤凰御景,[ 花都 区府 ] 新华镇三东大道以南,花都,2室/3室/4室,建筑面积：88-148㎡,
好家园博爱小区,[ 花都 狮岭 ] 山前旅游大道168号美林湖国际社区博爱...,花都,3室,建筑面积：112-129㎡,
花城美汇,[ 花都 区府 ] 新华路105号,花都,商业,建筑面积：50-101㎡,14500
馨泉花园,[ 花都 区府 ] 平龙路19号,花都,1室,建筑面积：56-82㎡,
大湖一号,[ 花都 狮岭 ] 山前大道美林湖国际社区花兜水库旁,花都,3室/4室,建筑面积：123-217㎡,6900
祈福生活无限,[ 花都 新机场 ] 凤凰路与商业大道交界处,花都,1室/2室/3室,建筑面积：55.9-127.45㎡,
千色美湖花园,[ 花都 狮岭 ] 山前大道北美林湖西门（西岸商业广场旁...,花都,2室/3室,建筑面积：72.84-110.73㎡,
雅居乐岭会,[ 花都 狮岭 ] 新庄村内(芙蓉大道东侧),花都,2室/3室/4室,建筑面积：85-135㎡,
城央御景,[ 花都 区府 ] 新华街商贸路9号（花都新华镇广清高速...,花都,1室/2室/3室/4室,建筑面积：43.46-148.6㎡,
骊雅居,[ 花都 区府 ] 商业大道与凤凰北路交汇处西北侧,花都,2室/3室/4室,建筑面积：80.72-143.97㎡,
祈福都会,[ 花都 新机场 ] 花山镇106国道花山段西侧,花都,1室/2室/3室/4室,建筑面积：42-137㎡,
万虹花园,[ 花都 狮岭 ] 南航大道与金狮大道交汇处,花都,3室/4室/5室,建筑面积：95-148.69㎡,
美力百富雅苑二期,[ 花都 区府 ] 云山大道与天贵路交汇处,花都,2室/3室,建筑面积：77.72-116.46㎡,
翠华花园二期,[ 花都 区府 ] 新华街金华路8号，城央御景的斜对面。,花都,2室/3室,建筑面积：79.03-131.41㎡,
恒昌福邸,[ 花都 新机场 ] 花山镇坪山大街,花都,3室,建筑面积：96-103㎡,
美力锦颐雅居,[ 花都 区府 ] 新华街三东大道45号,花都,1室/2室,建筑面积：75-97㎡,
勤天一品树院,[ 花都 狮岭 ] 芙蓉度假村树院五街1、3、5、7、9号,花都,2室/3室/4室/别墅,建筑面积：82-280㎡,
中房观湖国际,[ 花都 区府 ] 新华镇滨湖路东侧西临天贵路东临新街...,花都,1室/2室/3室/4室,建筑面积：62.33-217.39㎡,
摩登华雅轩,[ 花都 区府 ] 新华街建设北路138-5号,花都,3室,建筑面积：96-138㎡,
天马河壹号,[ 花都 区府 ] 新华风神大道与荔红南路交汇,花都,,建筑面积：30056㎡,25000
悦享花醍,[ 花都 区府 ] 迎宾大道西（即宝铼雅居后面）,花都,,建筑面积：64753㎡,
联合广场,[ 花都 狮岭 ] 宝峰南路6-11号,花都,商业,建筑面积：49-59.65㎡,16000
雅居乐汇通国际公寓,[ 花都 区府 ] 平步大道西汇通广场,花都,商业,建筑面积：53-72㎡,
芙蓉春晓,[ 花都 狮岭 ] 芙蓉大道东侧（新庄村）,花都,2室/3室,建筑面积：80.57-122.77㎡,
豪利幸福里,[ 花都 狮岭 ] 狮岭大道美湖路3号洪秀全水库西侧,花都,3室,建筑面积：85-90㎡,
家和岭秀,[ 花都 狮岭 ] 三东大道西,花都,2室/3室,建筑面积：96-146㎡,8900
勤天SOLO上作,[ 花都 区府 ] 迎宾大道中段，迎宾大道与清石海河交汇...,花都,商业,建筑面积：44-83㎡,
俊怡云山御居,[ 花都 区府 ] 云山大道,花都,3室,建筑面积：100-121㎡,
东方苑,[ 花都 新机场 ] 花山镇坪山大街(镇政府旁),花都,1室/2室/3室,建筑面积：46.76-115.11㎡,
水木箐华,[ 花都 狮岭 ] 合成南路7号,花都,3室,建筑面积：89.6-115.8㎡,
美林湖国际社区金色溪谷,[ 花都 新机场 ] 山前大道1号,花都,4室/5室/6室/7室,建筑面积：300-380㎡,
友田翡翠华庭,[ 花都 狮岭 ] 文明路东侧、康政路北侧、团结路西侧,花都,2室/3室,建筑面积：89.56-170.68㎡,
东馨美居,[ 花都 区府 ] 秀全大道33号,花都,3室,建筑面积：110㎡,
怡尚雅居,[ 花都 区府 ] 新华街,花都,,建筑面积：13916㎡,
云峰学府南苑,[ 花都 区府 ] 学府路3号（广州汽车学院正门）,花都,1室/2室/3室/4室,建筑面积：46.82-163.6㎡,8700
天美小岛,[ 花都 狮岭 ] 山前大道168号美林湖国际社区天美小岛,花都,2室/3室,建筑面积：82-119㎡,8900
南航碧花园,[ 花都 狮岭 ] 山前旅游大道,花都,别墅,建筑面积：184.17-439.16㎡,
家和逸品苑,[ 花都 区府 ] 新华街建设北路162号,花都,2室/3室,建筑面积：85-135㎡,17000
轩逸荟,[ 花都 狮岭 ] 狮岭大道东17号,花都,2室/3室,建筑面积：77.91-98.24㎡,
友田碧云轩,[ 花都 狮岭 ] 杨赤公路北,花都,2室/3室/4室,建筑面积：71.23-155.48㎡,12000
桃源盛世名苑,[ 花都 区府 ] 新华街南石西路1号,花都,3室,建筑面积：109-110㎡,
溢盈湖畔别墅,[ 花都 狮岭 ] 狮岭大道东63号（广清高速海布出口洪秀...,花都,别墅,建筑面积：305-399㎡,
花城悦翠园,[ 花都 区府 ] 两龙路,花都,1室/2室/3室/4室,建筑面积：35-121㎡,12000
柏景珑汇,[ 花都 区府 ] 新华街棠柏路1号,花都,商业,建筑面积：47-55㎡,
雅居乐锦城,[ 花都 狮岭 ] 三东大道西（南方花卉交易中心西侧）,花都,2室/3室/4室,建筑面积：79-165㎡,
天湖峰境,[ 花都 新机场 ] 山前旅游大道东段北侧(国家AA级九龙湖...,花都,3室/4室/5室/别墅,建筑面积：94.64-548.77㎡,
俊怡御景花园,[ 花都 区府 ] 建设北路合兴大酒店侧,花都,3室/4室,建筑面积：126-168㎡,
大运家园,[ 花都 区府 ] 迎宾大道与凤凰北路交汇处,花都,3室,建筑面积：126-180㎡,
逸泉韵翠,[ 花都 新机场 ] 花东镇杨荷村,花都,2室/3室/4室,建筑面积：96.25-143.79㎡,
星缘美居,[ 花都 区府 ] 新华镇龙珠路32号,花都,3室/4室,建筑面积：146-278.09㎡,
帝缘花园,[ 花都 狮岭 ] 盘古路以东、金狮大道北侧,花都,2室/3室/4室,建筑面积：107.5-149.68㎡,
云峰花园,[ 花都 新机场 ] 镜湖大道2号,花都,2室/3室,建筑面积：90-139㎡,
金碧御水山庄,[ 花都 狮岭 ] 杨村六花岗水库以东,花都,2室/3室/4室,建筑面积：142-166㎡,
风神公社,[ 花都 区府 ] 风神大道北、金钟水塘西南,花都,3室/4室,建筑面积：92-176㎡,
阳光雅居,[ 花都 区府 ] 迎宾大道（与大华三路交汇处）,花都,2室/3室,建筑面积：88-118㎡,
百合雅居,[ 花都 狮岭 ] 金狮大道西7号,花都,3室,建筑面积：90-120㎡,
澳景蓝庭,[ 花都 区府 ] 新华街迎宾大道西（旧云海阁旁）,花都,2室/3室,建筑面积：88.92-141.9㎡,
朗庭雅居,[ 花都 区府 ] 曙光路与宝华路交汇处,花都,3室/4室,建筑面积：160-180㎡,
天马河西岸,[ 花都 区府 ] 风神大道5号(风神大道与荔红路交界处),花都,2室/3室,建筑面积：75-112㎡,
泊岸君庭,[ 花都 区府 ] 新华街宝华路以南、天贵路以西田美河以...,花都,2室/3室,建筑面积：106-121㎡,
雅图奥园,[ 花都 新机场 ] 广花六路9号,花都,1室/2室/3室,建筑面积：89-247.95㎡,
新都雅居,[ 花都 区府 ] 新华街建设北路152号,花都,3室,建筑面积：97.53-128.22㎡,
合裕华亭,[ 花都 新机场 ] 花山镇两龙村106国道以东,花都,1室/2室/3室,建筑面积：30.28-118.92㎡,
芙蓉绿茵豪苑,[ 花都 新机场 ] 山前大道芙蓉段189号,花都,1室/2室/3室/4室,建筑面积：92-241.73㎡,
美力盈彩花苑,[ 花都 区府 ] 茶园路与梅花路交汇处,花都,3室/4室,建筑面积：131.03-157㎡,
鼎信四季花园,[ 花都 区府 ] 新华街建设北路杨屋路口,花都,3室,建筑面积：113.64-117㎡,
凯旋门,[ 花都 区府 ] 新华三东大道89号,花都,3室/4室,建筑面积：128-146㎡,
正盛广场,[ 花都 新机场 ] 山前大道芙蓉嶂旅游度假区内银湖湾，景...,花都,,建筑面积：148586㎡,
尚文轩,[ 花都 狮岭 ] 狮岭镇联合村金狮大道西以南、盘古路以...,花都,,建筑面积：10732㎡,
卓粤花园,[ 花都 区府 ] 新华街建设北路与平石西路以北交界,花都,,建筑面积：73413㎡,
家和春晓苑,[ 花都 狮岭 ] 杨屋二村,花都,,,
北优城,[ 花都 新机场 ] 金马北优城,花都,,建筑面积：374189㎡,
珠江花城,[ 天河 车陂 ] 岐山路183号,天河,2室/3室/4室/5室,建筑面积：65-143㎡,
市政尚塬颐都汇,[ 天河 天河北 ] 先烈东横路60号（星海音乐学院继续教育...,天河,商业,建筑面积：54-70㎡,19888
慧源山庄,[ 天河 植物园 ] 广州市天河区科韵路与华观路交汇处,天河,1室/2室/3室,建筑面积：52-128㎡,53000
华润天合商用,[ 天河 车陂 ] 大灵山路400号,天河,商业,建筑面积：37-54㎡,90
天麟府·瑧林,[ 天河 天河公园 ] 天河公园西侧天府路,天河,3室/4室,建筑面积：113-172㎡,105000
汇金东翼,[ 天河 车陂 ] 天河金融城黄埔大道中660号,天河,,建筑面积：163152㎡,45000
汇金中心,[ 天河 车陂 ] 黄埔大道与科韵路交界处国际金融城起步...,天河,商业,建筑面积：193-2388㎡,55000
天河星作,[ 天河 东圃 ] 合景路99号,天河,2室/3室/4室,建筑面积：58-124.2㎡,49000
兰亭盛荟,[ 天河 东圃 ] 明镜路与桃园西路交汇,天河,3室,建筑面积：103-133㎡,55000
远洋天骄广场,[ 天河 植物园 ] 元岗路68号,天河,商业,建筑面积：55-105㎡,20000
峻林,[ 天河 天河北 ] 林和东路261号,天河,4室/5室,建筑面积：290-307㎡,130000
宝兴翠园,[ 天河 东圃 ] 中山大道中1118号,天河,3室/4室,建筑面积：96-142㎡,50000
招商雍华府,[ 天河 东圃 ] 悦景路,天河,3室/4室/别墅,建筑面积：88-153㎡,800
富力盈凯广场,[ 天河 珠江新城 ] 珠江新城华夏路28号,天河,,建筑面积：170000㎡,
汇金中心写字楼,[ 天河 车陂 ] 黄埔大道与科韵路交界处国际金融城起步...,天河,,建筑面积：2319.61㎡,55000
保利天汇,[ 天河 东圃 ] 大观中路120号,天河,2室/3室,建筑面积：78-132㎡,
天河云商汇,[ 天河 植物园 ] 高唐路与软件路交界处,天河,商业,建筑面积：32-58㎡,28888
信达金茂广场,[ 天河 天河北 ] 广州大道北920号,天河,商业,建筑面积：46-92㎡,28000
富力盈通大厦,[ 天河 珠江新城 ] 华夏路30号,天河,,建筑面积：58.49-2020㎡,45000
尚东柏悦府,[ 天河 珠江新城 ] 花城大道,天河,3室/4室,建筑面积：430-437㎡,160000
新世界天逸,[ 天河 天河公园 ] 天府路31-33号,天河,3室/4室/5室,建筑面积：129-295㎡,90000
富力万科云启,[ 天河 车陂 ] 车陂北街,天河,3室/4室/商业,建筑面积：21-127㎡,32500
珠江东境花园,[ 天河 天河北 ] 科韵路,天河,4室,建筑面积：209-360㎡,100000
家和天曜,[ 天河 车陂 ] 大淋岗大街,天河,商业,建筑面积：44-82㎡,32000
汇悦台,[ 天河 珠江新城 ] 临江大道417-431号,天河,3室/4室/5室,建筑面积：236-437.33㎡,190000
帝景山庄,[ 天河 东圃 ] 悦景路,天河,别墅,建筑面积：430㎡,100000
天健汇,[ 天河 车陂 ] 车陂北路（天坤三路与健明四路交汇处）,天河,商业,建筑面积：36-68㎡,27000
天河星作商铺,[ 天河 东圃 ] 合景路99号,天河,,建筑面积：87987㎡,45000
汇美大厦,[ 天河 珠江新城 ] 金穗路3号,天河,,建筑面积：78413㎡,28000
君超中心,[ 天河 员村 ] 黄埔大道与科韵路交汇处,天河,,建筑面积：350000㎡,
珠光金融城壹号,[ 天河 员村 ] 黄埔大道东854号,天河,,建筑面积：530000㎡,
时代TIT广场,[ 天河 东圃 ] 东圃大马路1楼-6-3号,天河,,建筑面积：66725㎡,
佳兆业壹号,[ 天河 员村 ] 黄埔大道中505号,天河,3室,建筑面积：113.4-159.9㎡,80000
恒大珺睿,[ 天河 珠江新城 ] 马场路,天河,商业,建筑面积：94-102㎡,65000
天盈广场商铺,[ 天河 珠江新城 ] 兴民路222号,天河,,建筑面积：380㎡,2851
珠光新城御景二期商铺,[ 天河 珠江新城 ] 花城大道770号,天河,,建筑面积：13262㎡,70000
宏太智慧谷,[ 天河 智慧城 ] 广州市天河区思成路11-25号,天河,,建筑面积：50000㎡,
雅居乐中心,[ 天河 珠江新城 ] 华夏路26号,天河,,建筑面积：116052㎡,
创锦创业产业园,[ 天河 车陂 ] 科韵北路100-108号,天河,,建筑面积：18000㎡,30000
广州保利中心,[ 天河 珠江新城 ] 临江大道5号,天河,,建筑面积：83302㎡,
联泰•天河YOHO,[ 天河 天河北 ] 广州市天河区华观路中智慧城地铁站旁1...,天河,商业,建筑面积：25-65㎡,36000
汇金中心商铺,[ 天河 车陂 ] 黄埔大道与科韵路交界,天河,,建筑面积：5590㎡,25000
富力院士庭,[ 天河 天河北 ] 东莞庄路30-34、38号,天河,,建筑面积：46-7810㎡,14091
富力盈凯广场商铺,[ 天河 珠江新城 ] 华夏路16号,天河,,建筑面积：71.55-548.52㎡,102686
天河金街,[ 天河 天河北 ] 天河北路711-721号东方之珠花园负一层,天河,,建筑面积：10000㎡,100000
合景悦峰,[ 天河 车陂 ] 黄埔大道中660号,天河,商业,建筑面积：43-78㎡,40000
凯华国际中心,[ 天河 珠江新城 ] 冼村路5号,天河,,建筑面积：150000㎡,
保利V座,[ 天河 珠江新城 ] 天河区珠江新城冼村路11号,天河,,建筑面积：206274㎡,
天河棠下智汇Park,[ 天河 天河公园 ] 广园东路博汇街6号,天河,,,
富力中心,[ 天河 珠江新城 ] 华夏路10号,天河,,建筑面积：162477㎡,
大疆金融城大厦,[ 天河 车陂 ] 大塘工业区4号,天河,,建筑面积：190000㎡,
伟腾大厦,[ 天河 珠江新城 ] 黄埔大道西662号,天河,,建筑面积：95963㎡,
远洋天骄广场商铺,[ 天河 植物园 ] 元岗路68号,天河,,建筑面积：223334㎡,17000
广晟国际大厦,[ 天河 珠江新城 ] 珠江西路17号,天河,,建筑面积：160000㎡,
君御雅苑,[ 天河 珠江新城 ] 兴盛路6号,天河,1室/2室/3室/4室,建筑面积：38-197㎡,2000
珠光新城御景二期,[ 天河 珠江新城 ] 花城大道766号,天河,3室/4室,建筑面积：119-153㎡,95000
跑马地大厦,[ 天河 珠江新城 ] 天河潭村路350号,天河,,建筑面积：58㎡,54000
广州东塔,[ 天河 珠江新城 ] 天河珠江新城花城大道以南、珠江大道以...,天河,,建筑面积：360000㎡,
合生骏景广场,[ 天河 车陂 ] 中山大道西1138号,天河,商业,建筑面积：44.57-107㎡,43000
中惠睿元,[ 天河 天河北 ] 天盈路,天河,别墅,建筑面积：135-208㎡,800
圣丰广场,[ 天河 天河北 ] 广州大道中988号,天河,,建筑面积：155699㎡,
A8商务中心,[ 天河 天河北 ] 广州大道中988号,天河,,建筑面积：260000㎡,
江源半岛花园,[ 天河 车陂 ] 车陂路,天河,2室/3室/4室,建筑面积：70-256.25㎡,85000
博雅首府,[ 天河 珠江新城 ] 兴民路160号,天河,3室/4室/5室/6室/7室,建筑面积：191-608㎡,120000
九洲海誉居,[ 天河 天河北 ] 东莞庄路120号,天河,2室/3室/4室,建筑面积：83-192㎡,85000
珠江新城西塔,[ 天河 珠江新城 ] 珠江西路,天河,,,
远晖商厦,[ 天河 天河北 ] 天河北路423号,天河,,建筑面积：12118㎡,
龙湖首开天宸原著,[ 天河 车陂 ] 悦景路,天河,3室/4室,建筑面积：97-144㎡,
观山苑,[ 天河 天河北 ] 粤垦路观峰北街8号,天河,1室/2室/3室/4室,建筑面积：40-152㎡,
金地天河公馆,[ 天河 东圃 ] 大灵山路,天河,3室/4室,建筑面积：86-163㎡,
天銮,[ 天河 珠江新城 ] 猎德,天河,4室,建筑面积：211.9-264.3㎡,
瑞安创逸,[ 天河 天河北 ] 天河北路与天科路交汇处（光大银行大厦...,天河,1室/2室/4室,建筑面积：80-151㎡,
君临国际公寓,[ 天河 天河北 ] 天河路230、232号（正佳广场东侧）,天河,1室/2室,建筑面积：47-138㎡,
保利中达广场,[ 天河 珠江新城 ] 兴民路221号,天河,1室/2室/3室,建筑面积：60-117㎡,
中兴花园二期,[ 天河 东圃 ] 中山大道中1080号,天河,2室/3室/4室,建筑面积：82.53-134㎡,
VILI威尼国际公寓,[ 天河 天河北 ] 天河广州火车站东站旁西侧,天河,1室/2室,建筑面积：87.84-100㎡,
银汇华庭,[ 天河 天河北 ] 龙怡路113号（地铁华师站E出口）,天河,1室/2室,建筑面积：58-75㎡,
寰城海航广场,[ 天河 天河北 ] 天河北路与林和东路交界处（广州市天河...,天河,商业,建筑面积：99-254㎡,
珠光公园御景,[ 天河 天河公园 ] 公园西门西侧,天河,4室,建筑面积：210-290㎡,
越秀・星汇御府,[ 天河 珠江新城 ] 海业路6号,天河,,建筑面积：34907㎡,72000
南国公馆,[ 天河 珠江新城 ] 黄埔大道西和海乐路交界,天河,2室/3室/6室,建筑面积：107-226㎡,46000
佳润上品菁园,[ 天河 东圃 ] 中山大道中438号（羊城花园南侧）,天河,1室/2室/3室/4室,建筑面积：47-125㎡,
佳润临江上品,[ 天河 员村 ] 临江大道681-683号（科韵路临江大道交...,天河,1室/2室/3室,建筑面积：42-124㎡,
保利中汇广场,[ 天河 天河北 ] 林和西路(火车东站东侧),天河,1室/2室,建筑面积：67.24-1803㎡,
中铁盛德国际公寓,[ 天河 珠江新城 ] 黄埔大道西365、367、369号,天河,1室/2室/3室,建筑面积：64-144㎡,
富力国际公馆,[ 天河 珠江新城 ] 马场路16号,天河,3室,建筑面积：150-157㎡,
理想青年荟,[ 天河 天河公园 ] 天河区东方三路35号（天河公园西门直入...,天河,1室,建筑面积：42-74㎡,
珠光新城国际,[ 天河 珠江新城 ] 马场路庆亿街3号珠光新城国际中心,天河,1室,建筑面积：37-49㎡,
天河新天地,[ 天河 植物园 ] 天源路（地铁天河客运站A出口）,天河,商业,建筑面积：38㎡,
珠控国际中心,[ 天河 珠江新城 ] 华强路1号（广州大道与黄埔大道交界处...,天河,,建筑面积：2202㎡,
越秀城建珠江新城D8-2地块,[ 天河 珠江新城 ] 天河珠江新城海业路与金穗路交界,天河,,建筑面积：22514㎡,
新城市领秀,[ 天河 天河公园 ] 跑马场东潭村路400-428号,天河,,建筑面积：30000㎡,
方圆时光,[ 天河 员村 ] 中山大道科韵路33-49号信息港大厦西侧,天河,,建筑面积：56000㎡,
嘉裕公馆,[ 天河 珠江新城 ] 花城大道80号（环美家居旁）,天河,3室/4室,建筑面积：118.89-198.7㎡,55000
宝翠园,[ 天河 植物园 ] 宝翠路4-6号（华南植物园对面）,天河,2室/3室/4室/5室,建筑面积：85-180㎡,
力达广场,[ 天河 天河北 ] 粤垦路619号,天河,商业,建筑面积：50-50㎡,
粤海丽江花园,[ 天河 珠江新城 ] 珠江新城金穗路6、77、79号（珠江公园...,天河,4室/5室,建筑面积：220-280㎡,
正佳万豪金殿,[ 天河 天河北 ] 天河路208号,天河,1室/3室,建筑面积：61-149.82㎡,
翰林8090HOUSE,[ 天河 植物园 ] 长兴路与天源路交界路口（华南快速干线...,天河,1室/2室/3室,建筑面积：44-85.41㎡,
兰亭荟,[ 天河 珠江新城 ] 跑马场东侧,天河,2室/3室,建筑面积：82.44-119.47㎡,
美林湖誉府,[ 天河 车陂 ] 中山大道与桃园西路交汇处,天河,3室/4室,建筑面积：91-165㎡,
财富世纪广场,[ 天河 珠江新城 ] 海安路13号,天河,1室/2室,建筑面积：98.76-101.34㎡,
阳光假日园,[ 天河 车陂 ] 泰安南路98号,天河,2室/3室,建筑面积：77-91㎡,
合景睿峰L7,[ 天河 珠江新城 ] 海乐路12号,天河,3室/4室,建筑面积：110.38-154.52㎡,
橡树园,[ 天河 天河北 ] 天河区沙太南路316号,天河,3室,建筑面积：140.41㎡,
珠江马赛国际商务中心,[ 天河 珠江新城 ] 潭村路（跑马场东侧）,天河,,建筑面积：38794㎡,
富力天禧花园,[ 天河 车陂 ] 中山大道中与车陂路交界的东北方向的车...,天河,2室/3室/4室,建筑面积：78-168㎡,
珠江颐德公馆,[ 天河 珠江新城 ] 花城大道,天河,,建筑面积：130000㎡,150000
华景里,[ 天河 天河公园 ] 华景东路信华花园北侧（华景公交车场南...,天河,1室/3室/4室/5室,建筑面积：45-188㎡,35000
天荟公馆,[ 天河 天河公园 ] 黄埔大道中288号之一,天河,2室/3室/4室,建筑面积：81-196㎡,67000
佛奥广场,[ 天河 珠江新城 ] 华穗路与金穗路交汇处,天河,商业,建筑面积：30-104㎡,68000
珠光御景骏庭,[ 天河 东圃 ] 东圃东湖工业区南侧,天河,2室/3室,建筑面积：83-118㎡,
凯旋新世界,[ 天河 珠江新城 ] 花城大道（珠江公园南门对面）,天河,2室/3室/4室/5室,建筑面积：78.95-300㎡,
天健上城,[ 天河 车陂 ] 天坤三路,天河,,建筑面积：230000㎡,26000
嘉裕君玥公馆,[ 天河 珠江新城 ] 珠江新城花城大道39号,天河,3室/5室,建筑面积：157-180㎡,
汇景新城,[ 天河 天河北 ] 广园东路五山路回旋处,天河,3室/4室/5室,建筑面积：167-470㎡,
东方新世界,[ 天河 天河公园 ] 中山大道西158号（天河公园与天河区政...,天河,2室/3室/5室/6室,建筑面积：69-300㎡,
名悦,[ 天河 珠江新城 ] 西区华成路2号（南方日报社对面），西...,天河,4室/5室,建筑面积：148-273㎡,
方圆E时光,[ 天河 天河公园 ] 广州信息港（网易旁边）,天河,1室/2室,建筑面积：36-68㎡,
旭日雅苑幸福里,[ 天河 员村 ] 一横路员村西街4号大院旭日雅苑A栋,天河,2室/3室,建筑面积：80.96-136.56㎡,
保利中辰广场,[ 天河 天河北 ] 龙口西路1号,天河,1室/2室/3室,建筑面积：42-120㎡,
睿山,[ 天河 天河北 ] 五山路中段茶山路（五山小学旁边）,天河,3室/4室,建筑面积：99-196㎡,
富力公园28,[ 天河 珠江新城 ] 马场路28号,天河,3室/4室,建筑面积：160-273.36㎡,
嘉裕丹顿阳光,[ 天河 珠江新城 ] 珠江新城海安路2号,天河,2室/3室/4室,建筑面积：72.34-197㎡,
力迅T,[ 天河 天河公园 ] 翠湖山庄内（翠华路西侧、黄埔大道中以...,天河,1室/2室/3室,建筑面积：41.14-126.61㎡,
星汇云锦,[ 天河 珠江新城 ] 珠江新城华明路（东西商业轴线与广州大...,天河,3室/4室/6室/7室,建筑面积：194-734㎡,
中海花城1号,[ 天河 珠江新城 ] 花城大道与猎德路交汇处西南,天河,2室/4室,建筑面积：86-175㎡,
嘉尚国际公寓,[ 天河 天河北 ] 林和东路沾益直街89、91、93号,天河,1室/2室,建筑面积：30-60㎡,
朱美拉公寓,[ 天河 珠江新城 ] 冼村路16号,天河,2室/3室,建筑面积：68.06-203.47㎡,
易丰大厦,[ 天河 天河公园 ] 黄埔大道中翠园街6、8号，8号之一、8号...,天河,1室/2室/3室,建筑面积：42-109㎡,
翰林二期8090HOUSE,[ 天河 植物园 ] 长兴路与天源路交界,天河,3室,建筑面积：85㎡,
方圆月岛,[ 天河 珠江新城 ] 花城大道55号、兴国路27号（兴国路与花...,天河,3室/4室/5室,建筑面积：220-350㎡,
天盈广场,[ 天河 珠江新城 ] 兴民路222号,天河,,建筑面积：159-527㎡,65000
金融城绿地中心,[ 天河 车陂 ] 黄埔大道662号（科韵路地铁站B出口东行...,天河,,建筑面积：134-609㎡,34000
保利克洛维,[ 天河 珠江新城 ] 天河广州珠江新城华强路和华穗路交界处...,天河,,建筑面积：50㎡,36000
丽柏国际公寓,[ 天河 天河北 ] 广州天河区龙口东路龙口横街,天河,1室/2室,建筑面积：35-115㎡,
海誉居,[ 天河 天河北 ] 九洲文化家园内，东莞庄路以东省农科院...,天河,,,
星汇御府,[ 天河 珠江新城 ] 海业路,天河,5室/8室,建筑面积：335-666㎡,
保利金融大都汇,[ 天河 车陂 ] 黄埔大道中666号,天河,商业,建筑面积：50-107㎡,45000
环球都会广场,[ 天河 珠江新城 ] 花城大道68号,天河,,建筑面积：180000㎡,
亿泉尚园,[ 天河 天河北 ] 天河北路时代广场南侧20米,天河,3室/4室,建筑面积：138.39-188.83㎡,
天河豪景,[ 天河 天河北 ] 广州大道北52号(沙太路旁),天河,2室/3室/4室,建筑面积：70.22-129.31㎡,
翠屏领东天河,[ 天河 东圃 ] 天河区中山大道中珠村东环路21号,天河,1室/2室/3室,建筑面积：56.6-117㎡,
广海花园美筑,[ 天河 天河公园 ] 中山大道与科韵路交汇处,天河,3室,建筑面积：73-91㎡,
万科云,[ 天河 东圃 ] 华观路与高唐路交汇处,天河,,建筑面积：83000㎡,
万科·喜悦里,[ 白云 三元里 ] 三元里大道亚朵酒店对面（距离2号线三...,白云,,建筑面积：22400㎡,
佳兆业天墅,[ 白云 广州大道北 ] 同宝路8号,白云,4室,建筑面积：97-261.58㎡,75000
品实云湖花城,[ 白云 石井 ] 石沙路地铁8号线亭岗站（在建中）旁,白云,3室/4室/5室/6室,建筑面积：70-140㎡,40000
万科金域悦府,[ 白云 同德围 ] 环市西板块西湾路（在建中8号线鹅掌坦...,白云,3室/4室,建筑面积：95-140㎡,
时代龙湖云来之城,[ 白云 人和 ] 人和镇江人三路南,白云,3室/4室,建筑面积：88-152㎡,34000
首开龙湖·天奕,[ 白云 白云大道 ] 云城西路,白云,3室/4室,建筑面积：189-242㎡,100000
金地仰云,[ 白云 机场路 ] 白云新城西棠乐路（百信广场旁）,白云,4室,建筑面积：125-136㎡,55000
